key1;key2_1;key2_2;key2_3;key2_4;key2_5;key2_6;key2_7;key2_8;key2_9;key2_10;key2_11
1;89.724429458;5.0806624044;3.2031225097;1.0717034951;0.2222779903;0.3375321683;0.1992759304;0.0252444555;0.0295666737;0.0161577898;0.0900271249
2;15.186596785;75.568683717;2.2878770956;2.1812562419;1.7359156911;1.9965362408;0.5831968959;0.1337836691;0.0906450206;0.0588399311;0.1766687118
3;2.6599187429;23.943145404;65.300999677;0.9885859267;0.6443205738;3.4517348911;2.1392932297;0.2745563917;0.169747016;0.1380576553;0.2896404914
4;0.0587281641;9.4547994928;25.652164014;54.920803567;1.3013493652;1.8081271311;4.8417369179;0.5172180306;0.5251442623;0.3065313509;0.6133977042
5;0.076168897;5.449525805;5.112814905;22.804985172;57.09045215;1.4878831587;5.4353743458;0.6201451574;0.8014064982;0.3758043046;0.7454396054
6;0.0533313256;0.4250813766;5.9176271357;1.4757609338;19.20569659;62.221602931;2.9769196998;4.1069173924;1.3989433852;0.8936368149;1.3244824144
7;0.0473047661;0.2424162441;0.580784188;2.8917947185;3.8590324457;15.378491104;64.616893048;2.8117665092;3.7904475343;2.2246865674;3.5563828747
8;0.0427474742;0.1187397588;0.4178440584;0.4619642342;0.3393948072;3.2576312185;26.717698954;49.781215559;6.0721781184;4.9589454558;7.8316403616
9;0.012325217;0.1657883365;0.4019691443;0.5256816518;0.5265705387;1.6472646884;8.2408346355;14.551619197;52.024219542;8.263870345;13.639856703
10;0.0275091277;0.1911587071;0.2304912039;0.4069411881;0.4677352629;1.3342967038;6.3353141718;6.7556384019;18.880461191;28.363899296;37.006554746
