obs;Date;DR;P90;P10
6;2011:2;4.6275987345;;
7;2011:3;4.3272945148;;
8;2011:4;4.206811364;;
9;2012:1;4.3163148052;;
10;2012:2;4.1493204224;;
11;2012:3;4.3665277619;;
12;2012:4;4.6493781011;;
13;2013:1;4.5573757228;;
14;2013:2;4.6433162422;;
15;2013:3;4.829204184;;
16;2013:4;5.0125663615;;
17;2014:1;4.8606671652;;
18;2014:2;4.6575360765;;
19;2014:3;4.5952209831;;
20;2014:4;4.3271508822;;
21;2015:1;4.1397816693;;
22;2015:2;3.9149331859;;
23;2015:3;3.92884319;;
24;2015:4;3.7918878854;;
25;2016:1;3.5308533474;;
26;2016:2;3.4543563601;;
27;2016:3;3.2696898881;;
28;2016:4;3.0896372068;;
29;2017:1;3.1524177484;;
30;2017:2;3.0579297146;;
31;2017:3;2.950526027;;
32;2017:4;2.8716044222;2.7399214123;2.5761089969
33;2018:1;2.7376760694;2.6250133695;2.307580671
34;2018:2;2.6983479524;2.6994411302;2.241411137
35;2018:3;2.8180659941;2.8939130326;2.30291422
36;2018:4;2.8589568701;2.9558396941;2.2207146598
37;2019:1;2.9615806196;3.148590614;2.2914087518
38;2019:2;3.1092375073;3.3235384042;2.3787174394
39;2019:3;3.290553107;3.5495181083;2.5045266235
40;2019:4;3.4032773839;3.7779014507;2.5494059193
41;2020:1;3.5892919645;3.9992816184;2.7301922147
42;2020:2;3.7699530094;4.2022125872;2.8322886239
43;2020:3;3.9661017655;4.3681489789;2.9898677805
44;2020:4;4.1143235091;4.5281692613;3.0563700556
