obs;Date;DR;P90;P10
6;2011:2;4.6275987345;;
7;2011:3;4.3272945148;;
8;2011:4;4.206811364;;
9;2012:1;4.3163148052;;
10;2012:2;4.1493204224;;
11;2012:3;4.3665277619;;
12;2012:4;4.6493781011;;
13;2013:1;4.5573757228;;
14;2013:2;4.6433162422;;
15;2013:3;4.829204184;;
16;2013:4;5.0125663615;;
17;2014:1;4.8606671652;;
18;2014:2;4.6575360765;;
19;2014:3;4.5952209831;;
20;2014:4;4.3271508822;;
21;2015:1;4.1397816693;;
22;2015:2;3.9149331859;;
23;2015:3;3.92884319;;
24;2015:4;3.7918878854;;
25;2016:1;3.5308533474;;
26;2016:2;3.4543563601;;
27;2016:3;3.2696898881;;
28;2016:4;3.0896372068;;
29;2017:1;3.1524177484;;
30;2017:2;3.0579297146;;
31;2017:3;2.950526027;;
32;2017:4;2.8716044222;2.7399214123;2.5761089969
33;2018:1;2.7376760694;2.6250133695;2.307580671
34;2018:2;2.6983479524;2.6994411302;2.241411137
35;2018:3;2.6709326497;2.7452340278;2.1184015743
36;2018:4;2.7247837835;2.8423034162;2.0622891598
37;2019:1;2.7562930007;2.9792923776;2.0352042235
38;2019:2;2.7890350383;3.060451336;1.9893104261
39;2019:3;2.8832932453;3.2084952146;2.0015074728
40;2019:4;2.9248129156;3.3305779832;1.9552724119
41;2020:1;2.9955474696;3.4473065096;1.919636346
42;2020:2;3.0809911522;3.5612621838;1.9485284768
43;2020:3;3.1887732037;3.704217102;2.0309372702
44;2020:4;3.2491870337;3.7896244975;2.0308019489
