_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9225941656;0.0418866394;0.0226752776;0.0065933442;0.0015354629;0.0024573173;0.0012672631;0.000206547;0.0001789816;0.0000939716;0.0005110298
0.2899820409;0.6619554278;0.0091856169;0.009088886;0.0119378247;0.0121578416;0.0030051681;0.0007847055;0.0005826609;0.0002961774;0.0010236502
0.0702115262;0.3279494314;0.5509973623;0.0045802411;0.0027748389;0.0235325381;0.0135504734;0.0018506211;0.0012440504;0.0010299785;0.0022789387
0.0018669448;0.1641762212;0.3455423298;0.4259214247;0.0056118826;0.0076695819;0.0365888016;0.0023244472;0.0037628547;0.0021476035;0.0043879079
0.001436383;0.119085277;0.1016527724;0.2617653612;0.4474840615;0.0074034693;0.042719331;0.0028692553;0.0059356775;0.0029865628;0.0066618491
0.0021099625;0.006228618;0.1716029852;0.0194885139;0.1919793701;0.5378120762;0.0208756737;0.0234735634;0.0076631554;0.0064545944;0.0123114872
0.0013486075;0.0063726869;0.0077783221;0.0824869002;0.0606782807;0.174035185;0.5826878103;0.0143731488;0.0238924014;0.0164219831;0.0299246741
0.0008265188;0.0044386087;0.0193950547;0.0062285778;0.0080971551;0.0875598549;0.3268987288;0.4104352403;0.0312265907;0.0393099457;0.0655837245
0.0007852312;0.0063689393;0.0100384689;0.0157287359;0.019292033;0.036878158;0.1690187657;0.1410807351;0.4068166702;0.0612791497;0.1327131128
0.0002998129;0.0012853018;0.0034909146;0.007426238;0.0088472372;0.0385526448;0.1214407201;0.093427233;0.1760726245;0.1821800304;0.3669772427
