_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9073589855;0.0487446876;0.0274267845;0.0082630261;0.0019612964;0.0031884343;0.0016844865;0.000279309;0.0002437354;0.0001287519;0.0007205026
0.2573583501;0.6839513038;0.0108133649;0.0108147454;0.0144332867;0.0151332958;0.0038758759;0.0010313605;0.0007742142;0.0003972827;0.00141692
0.0579415126;0.3029099081;0.577206523;0.005363774;0.0032615232;0.0281209623;0.0167948131;0.0023640383;0.0016069967;0.0013453646;0.0030845841
0.0013593067;0.1414023346;0.3297215603;0.4520302864;0.0065067024;0.008943939;0.0438402781;0.0028916413;0.0047354371;0.0027438462;0.0058246678
0.0010381067;0.1009228768;0.0921231616;0.2509010685;0.4725080445;0.0085484755;0.0505922629;0.0035154418;0.0073593012;0.0037624196;0.0087288409
0.0015416438;0.0048128293;0.1490176575;0.0177926831;0.1811410689;0.560653676;0.024195943;0.0278134108;0.0092832923;0.0079382484;0.0158095469
0.0009729576;0.0048963945;0.0061924068;0.0700231004;0.0540098877;0.1617727882;0.6012653766;0.0164468473;0.0277419411;0.0194524933;0.0372258065
0.0005883757;0.0033654645;0.015560447;0.0051371576;0.0067452974;0.0759160585;0.3075563353;0.4264377883;0.0348681686;0.0447674997;0.0790574074
0.0005582178;0.004866651;0.008003348;0.0129098508;0.0162116543;0.0317573311;0.1531474987;0.1343965421;0.4160739929;0.0671610399;0.1549138733
0.0002078919;0.0009408769;0.0026587253;0.00584971;0.007147952;0.032292203;0.1075499168;0.0864033902;0.1692595369;0.183220734;0.404469063
