key1;key2_1;key2_2;key2_3;key2_4;key2_5;key2_6;key2_7;key2_8;key2_9;key2_10;key2_11
1;86.9385255;6.4339794625;3.9329904912;1.2798408502;0.3167675012;0.5333447661;0.2974773487;0.0512755079;0.045465616;0.0243535825;0.1459793732
2;19.959281875;71.404691914;1.4621322565;1.496272541;2.06701588;2.3099808688;0.6396946451;0.1775387095;0.1365915576;0.071603528;0.275196224
3;3.9256579952;25.218243424;61.786093494;0.7172042603;0.4395457171;3.9277935838;2.539739908;0.3818840989;0.2661038188;0.2283948507;0.5693388498
4;0.074137472;10.35387853;29.183042796;49.535971641;0.8517875767;1.1852804583;6.1627698763;0.4405841013;0.7401159983;0.4434006267;1.029030923
5;0.0559288357;7.1721562264;7.3779379654;22.373233686;51.257785097;1.1093023561;6.9350373036;0.5181071855;1.1131820135;0.5893753429;1.4979539872
6;0.084574157;0.289698156;11.065529914;1.4443018885;15.663914691;59.362757927;3.1654253863;3.8143115076;1.3350386842;1.1797203745;2.5947273142
7;0.052266876;0.2919553373;0.3923326175;4.9785024863;4.1821925833;13.596038486;62.403284448;2.0939646558;3.6432248832;2.6656928348;5.7005447913
8;0.0309201352;0.1962051658;0.9998279953;0.34631907;0.4628919605;5.6047770895;26.496116775;44.684569916;4.2177015519;5.6437029977;11.316967343
9;0.0292695068;0.2875493567;0.5083988381;0.8629866952;1.130094355;2.3140586036;12.270720602;11.832005088;42.220689101;7.8166686717;20.727559183
10;0.0104688562;0.0517056537;0.1561219814;0.3638866576;0.4646704317;2.2389067947;8.2569087288;7.1878726213;15.166945776;17.932470635;48.170041864
