_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.895472908;0.0538853442;0.0311485122;0.0096192932;0.0023137215;0.003802884;0.0020432734;0.0003428829;0.0003006809;0.0001595103;0.0009109894
0.2357605553;0.6970906358;0.0120495074;0.0121415856;0.0163860386;0.017534556;0.0046034132;0.0012411921;0.0009388608;0.0004849572;0.001768698
0.0504208629;0.2851143923;0.5937079417;0.0059551349;0.0036304396;0.031666944;0.0194017396;0.0027889862;0.0019106739;0.0016120887;0.0037907961
0.0010833421;0.1267925993;0.317432169;0.4689744362;0.0071739473;0.0099009301;0.0494657122;0.0033488398;0.0055286486;0.0032374317;0.0070619436
0.0008230743;0.0894700546;0.0855200602;0.2422554015;0.4884989664;0.0093978765;0.0566198651;0.0040281933;0.0085030296;0.0043958267;0.0104876517
0.0012316835;0.003997137;0.1343625816;0.0166016766;0.1729731861;0.5746229118;0.0266710862;0.0311350202;0.0105536364;0.0091202921;0.0187307885
0.0007704712;0.0040506933;0.0052509208;0.0621170622;0.0495110295;0.1528732723;0.6119281232;0.0179674088;0.0306181341;0.0217707602;0.0431421243
0.000461585;0.0027585396;0.0132676512;0.0044649287;0.0059036471;0.0683360516;0.2931918949;0.4357790055;0.0374466987;0.0487451058;0.0896448921
0.0004375054;0.0040108631;0.0067935415;0.0111829161;0.0142755983;0.0284471022;0.1421736839;0.1291874271;0.4204989246;0.0711955182;0.1717969195
0.0001601196;0.0007524589;0.0021858809;0.0049237889;0.0061238273;0.0283737709;0.0982585994;0.0813518526;0.1637389548;0.1829232501;0.4312074967
