_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9063477305;0.0491889845;0.027743031;0.00837666;0.0019906104;0.0032392371;0.0017138856;0.0002844859;0.0002483607;0.0001312447;0.0007357697
0.2554034714;0.6851920369;0.0109196684;0.010928309;0.0145992824;0.0153349901;0.003936165;0.0010486272;0.0007877079;0.0004044433;0.0014452985
0.0572412363;0.3013396303;0.5787322067;0.0054147502;0.0032932712;0.0284238477;0.0170141512;0.0023993833;0.0016321485;0.0013673636;0.0031420109
0.0013324758;0.1400643859;0.3286707432;0.453578518;0.0065644885;0.0090265929;0.0443200622;0.0029300622;0.004801792;0.0027848974;0.0059259818
0.0010171489;0.0998674;0.0915349976;0.2501678729;0.4739781693;0.0086221838;0.0511089719;0.0035587945;0.0074555389;0.0038153856;0.0088735366
0.0015115426;0.0047351443;0.1476810232;0.0176871094;0.1804351148;0.5619606841;0.024410323;0.0280981936;0.0093911956;0.0080380327;0.0160516367
0.0009532113;0.0048156871;0.006103701;0.0692959289;0.0536052472;0.1609932289;0.6022896084;0.0165793893;0.0279908396;0.0196512943;0.037721864
0.0005759569;0.0033072776;0.0153449864;0.0050746582;0.0066673513;0.0752253987;0.3063085373;0.4273291245;0.0350959833;0.045115023;0.0799557029
0.0005463891;0.0047848181;0.0078894179;0.0127489811;0.0160329706;0.0314549295;0.1521693146;0.1339515494;0.4165353293;0.0675219137;0.1563643868
0.0002031726;0.0009225973;0.0026134675;0.005762133;0.007051984;0.0319300218;0.1067116538;0.0859594347;0.1687942052;0.1832284469;0.4068228833
