_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;Defaut
0.9143654505;0.0456296939;0.0252383084;0.0074851057;0.0017617273;0.0028441419;0.001486599;0.0002446272;0.0002128085;0.0001121117;0.0006194261
0.2715806614;0.6746477336;0.0100709453;0.010024506;0.0132842442;0.013749857;0.0034665911;0.000914765;0.000683374;0.0003492037;0.0012281186
0.0631545741;0.3140950233;0.5659421295;0.0050071032;0.003039675;0.0260165654;0.0152884168;0.0021234161;0.0014363171;0.0011965536;0.002700226
0.0015663263;0.1512279905;0.3370107739;0.4407015012;0.0061009322;0.0083647644;0.040510584;0.0026280172;0.0042817247;0.0024643915;0.005142994
0.0012001425;0.1087139252;0.0963444026;0.2559505361;0.4617015419;0.0080301059;0.0469922615;0.003216588;0.006698316;0.0034003649;0.0077518153
0.0017736706;0.005401915;0.1588003001;0.0185473422;0.1860824413;0.550920977;0.0226904553;0.0258291029;0.0085368185;0.007251203;0.0141657742
0.001125702;0.0055094455;0.0068590785;0.0753812579;0.0569371775;0.1672909613;0.5934952168;0.0155114971;0.0259952184;0.018067075;0.03382737
0.0006847943;0.0038091449;0.0171762942;0.0056017426;0.0073228468;0.0809659638;0.3163286933;0.4197093629;0.0332437234;0.0423106043;0.0728468295
0.0006500899;0.0054892912;0.0088592461;0.0141075772;0.0175318954;0.033973046;0.160172389;0.1374803173;0.412385368;0.0645634311;0.1447873488
0.0002447971;0.0010816532;0.0030033417;0.0065100096;0.0078659632;0.034971577;0.1136297224;0.089554473;0.1724470478;0.1829718797;0.3877195354
