obs;Date;DR;P90;P10
6;2011-Q2;4.6275987345;;
7;2011-Q3;4.3272945148;;
8;2011-Q4;4.206811364;;
9;2012-Q1;4.3163148052;;
10;2012-Q2;4.1493204224;;
11;2012-Q3;4.3665277619;;
12;2012-Q4;4.6493781011;;
13;2013-Q1;4.5573757228;;
14;2013-Q2;4.6433162422;;
15;2013-Q3;4.829204184;;
16;2013-Q4;5.0125663615;;
17;2014-Q1;4.8606671652;;
18;2014-Q2;4.6575360765;;
19;2014-Q3;4.5952209831;;
20;2014-Q4;4.3271508822;;
21;2015-Q1;4.1397816693;;
22;2015-Q2;3.9149331859;;
23;2015-Q3;3.92884319;;
24;2015-Q4;3.7918878854;;
25;2016-Q1;3.5308533474;;
26;2016-Q2;3.4543563601;;
27;2016-Q3;3.2696898881;;
28;2016-Q4;3.0896372068;;
29;2017-Q1;3.1524177484;;
30;2017-Q2;3.0579297146;;
31;2017-Q3;2.950526027;;
32;2017-Q4;2.8716044222;3.2599214123;2.7261089969
33;2018-Q1;2.7376760694;3.150133695;2.457580671
34;2018-Q2;2.6983479524;3.14411302;2.391411137
35;2018-Q3;2.8180659941;3.4139130326;2.45291422
36;2018-Q4;2.8589568701;3.358396941;2.3707146598
37;2019-Q1;2.9615806196;3.4148590614;2.4414087518
38;2019-Q2;3.1092375073;3.5235384042;2.5287174394
39;2019-Q3;3.290553107;3.72099214123;2.6545266235
40;2019-Q4;3.4032773839;3.801311091;2.5994059193
41;2020-Q1;3.5892919645;4.05277033484;2.6801922147
42;2020-Q2;3.7699530094;4.239130327;2.8822886239
43;2020-Q3;3.9661017655;4.39958396941;3.1398677805
44;2020-Q4;4.1143235091;4.5972789826;3.3063700556
