obs;Date;DR;P90;P10
6;2011-Q2;4,627598735;;
7;2011-Q3;4,327294515;;
8;2011-Q4;4,206811364;;
9;2012-Q1;4,316314805;;
10;2012-Q2;4,149320422;;
11;2012-Q3;4,366527762;;
12;2012-Q4;4,649378101;;
13;2013-Q1;4,557375723;;
14;2013-Q2;4,643316242;;
15;2013-Q3;4,829204184;;
16;2013-Q4;5,012566362;;
17;2014-Q1;4,860667165;;
18;2014-Q2;4,657536077;;
19;2014-Q3;4,595220983;;
20;2014-Q4;4,327150882;;
21;2015-Q1;4,139781669;;
22;2015-Q2;3,914933186;;
23;2015-Q3;3,92884319;;
24;2015-Q4;3,791887885;;
25;2016-Q1;3,530853347;;
26;2016-Q2;3,45435636;;
27;2016-Q3;3,269689888;;
28;2016-Q4;3,089637207;;
29;2017-Q1;3,152417748;;
30;2017-Q2;3,057929715;;
31;2017-Q3;2,950526027;;
32;2017-Q4;2,871604422;2,909921412;2,576108997
33;2018-Q1;2,737676069;2,79501337;2,307580671
34;2018-Q2;2,698347952;2,86944113;2,241411137
35;2018-Q3;2,67093265;2,915234028;2,118401574
36;2018-Q4;2,724783784;3,012303416;2,06228916
37;2019-Q1;2,756293001;3,149292378;2,035204224
38;2019-Q2;2,789035038;3,230451336;1,989310426
39;2019-Q3;2,883293245;3,208495215;2,001507473
40;2019-Q4;2,924812916;3,330577983;1,955272412
41;2020-Q1;2,99554747;3,44730651;1,919636346
42;2020-Q2;3,080991152;3,561262184;1,948528477
43;2020-Q3;3,188773204;3,704217102;2,03093727
44;2020-Q4;3,249187034;3,789624498;2,030801949
