obs;Date;DR;P90;P10
6;2011-Q2;4.6275987345;;
7;2011-Q3;4.3272945148;;
8;2011-Q4;4.206811364;;
9;2012-Q1;4.3163148052;;
10;2012-Q2;4.1493204224;;
11;2012-Q3;4.3665277619;;
12;2012-Q4;4.6493781011;;
13;2013-Q1;4.5573757228;;
14;2013-Q2;4.6433162422;;
15;2013-Q3;4.829204184;;
16;2013-Q4;5.0125663615;;
17;2014-Q1;4.8606671652;;
18;2014-Q2;4.6575360765;;
19;2014-Q3;4.5952209831;;
20;2014-Q4;4.3271508822;;
21;2015-Q1;4.1397816693;;
22;2015-Q2;3.9149331859;;
23;2015-Q3;3.92884319;;
24;2015-Q4;3.7918878854;;
25;2016-Q1;3.5308533474;;
26;2016-Q2;3.4543563601;;
27;2016-Q3;3.2696898881;;
28;2016-Q4;3.0896372068;;
29;2017-Q1;3.1524177484;;
30;2017-Q2;3.0579297146;;
31;2017-Q3;2.950526027;;
32;2017-Q4;2.8716044222;2.9099214123;2.5761089969
33;2018-Q1;2.7376760694;2.7950133695;2.307580671
34;2018-Q2;2.6983479524;2.8194411302;2.241411137
35;2018-Q3;2.6709326497;2.8652340278;2.1184015743
36;2018-Q4;2.7247837835;2.9623034162;2.0622891598
37;2019-Q1;2.7562930007;3.0992923776;2.0352042235
38;2019-Q2;2.7890350383;3.180451336;1.9893104261
39;2019-Q3;2.8832932453;3.2084952146;2.0015074728
40;2019-Q4;2.9248129156;3.3305779832;1.9552724119
41;2020-Q1;2.9955474696;3.4473065096;1.919636346
42;2020-Q2;3.0809911522;3.5612621838;1.9485284768
43;2020-Q3;3.1887732037;3.704217102;2.0309372702
44;2020-Q4;3.2491870337;3.7896244975;2.0308019489
